sample_id,lambda0_HM,lambda1_HM,lambda2_HM,lambda3_HM,gamma0_MH,gamma1_MH,gamma2_MH,gamma3_MH,delta0_HM,delta1_HM,delta2_HM,delta3_HM,eta0_MH,eta1_MH,eta2_MH,eta3_MH,p0_mortality,p1_mortality
10,0.01,0.329754692,0.17546517,0.09469364,0.072,0.191765417,0.535572712,0.183579265,0.01,0.409844591,0.555384978,0.287267386,0.072,0.551972223,0.546670064,0.143012344,0.05,0.139229582
11,0.01,0.237693865,0.225023991,0.029140688,0.072,0.346232542,0.285521685,0.029239931,0.01,0.220130707,0.71753005,0.189253894,0.072,0.082300287,0.278009168,0.559849458,0.05,0.067775476
12,0.01,0.530987082,0.601679496,0.18773366,0.072,0.413626886,0.208900819,0.359149712,0.01,0.500488472,0.423262,0.071328918,0.072,0.474451817,0.182203077,0.105942514,0.05,0.01141704
13,0.01,0.466805425,0.535275846,0.013104385,0.072,0.290868857,0.1286496,0.366458145,0.01,0.137749479,0.545840813,0.305520924,0.072,0.532062634,0.078111896,0.193725687,0.05,0.031772586
14,0.01,0.730507958,0.693098089,0.203773886,0.072,0.374870938,0.46418221,0.315354061,0.01,0.418423957,0.19106331,0.073551187,0.072,0.509618551,0.511437456,0.359601628,0.05,0.094928341
15,0.01,0.275875564,0.573504986,0.708717105,0.072,0.503865089,0.44296931,0.364673975,0.01,0.066470572,0.127686684,0.709857809,0.072,0.344451706,0.005223925,0.057635836,0.05,0.185780495
16,0.01,0.003998651,0.127038361,0.433499694,0.072,0.392996472,0.370313995,0.127384968,0.01,0.562621585,0.187426779,0.257065762,0.072,0.424007118,0.368991487,0.482358897,0.05,0.18413161
17,0.01,0.448963797,0.074003067,0.290495484,0.072,0.150634945,0.138586117,0.552669995,0.01,0.310547202,0.704716779,0.498599515,0.072,0.45145282,0.285497869,0.327681406,0.05,0.137904954
18,0.01,0.15424196,0.570737171,0.221810166,0.072,0.013811469,0.366628264,0.100598866,0.01,0.742962282,0.753603576,0.722742868,0.072,0.210250142,0.008779358,0.527284944,0.05,0.119891562
19,0.01,0.763657307,0.761259782,0.67387747,0.072,0.167246971,0.21873551,0.483445629,0.01,0.250368384,0.13389927,0.439872997,0.072,0.531735912,0.395344925,0.323794745,0.05,0.027209418
20,0.01,0.485855709,0.782142542,0.110666372,0.072,0.294411243,0.498347905,0.420756575,0.01,0.550642435,0.554962426,0.283998009,0.072,0.166760168,0.459717136,0.460144408,0.05,0.242780249
21,0.01,0.721460037,0.403960495,0.396197873,0.072,0.453431662,0.369179513,0.398717186,0.01,0.628676209,0.70310422,0.267016174,0.072,0.213331117,0.053381742,0.32846312,0.05,0.010063837
22,0.01,0.367822434,0.428689261,0.226367589,0.072,0.335593292,0.017324142,0.021213771,0.01,0.649854443,0.284550607,0.100377805,0.072,0.296634172,0.437356338,0.122586344,0.05,0.174409333
23,0.01,0.067424497,0.04082856,0.419770159,0.072,0.307080749,0.362060184,0.412419878,0.01,0.770923143,0.407877275,0.255135614,0.072,0.451665759,0.153832719,0.249335767,0.05,0.021967787
24,0.01,0.020027087,0.760492248,0.660424295,0.072,0.395313349,0.232285272,0.098431174,0.01,0.123585264,0.19769189,0.433889065,0.072,0.405890484,0.37499211,0.159002453,0.05,0.267362279
25,0.01,0.582938564,0.437939701,0.48325939,0.072,0.238332835,0.140711202,0.202192481,0.01,0.598698427,0.011370856,0.091697386,0.072,0.026129501,0.02313396,0.485901612,0.05,0.197024201
26,0.01,0.374597325,0.077288987,0.388376541,0.072,0.268931966,0.098378662,0.246427737,0.01,0.31481874,0.486521577,0.501723984,0.072,0.025732678,0.212779965,0.355488432,0.05,0.140878152
27,0.01,0.676626975,0.520367969,0.128718197,0.072,0.040083049,0.36489415,0.015058424,0.01,0.462762709,0.742781891,0.454624601,0.072,0.220480518,0.365387708,0.260287642,0.05,0.152772701
28,0.01,0.743757199,0.305021084,0.759340545,0.072,0.514239165,0.111209365,0.039397219,0.01,0.079614621,0.014395242,0.074609939,0.072,0.387947847,0.040435152,0.181178158,0.05,0.236565087
29,0.01,0.018384829,0.643430101,0.222665272,0.072,0.067117622,0.39574671,0.357239537,0.01,0.693202891,0.580706125,0.634749935,0.072,0.160195637,0.100785661,0.426349179,0.05,0.225913727
30,0.01,0.782499062,0.325967965,0.293894288,0.072,0.441002562,0.193576411,0.528670161,0.01,0.678146074,0.338905282,0.593188144,0.072,0.428580352,0.058574357,0.512650051,0.05,0.141470664
31,0.01,0.652901398,0.252839185,0.707463351,0.072,0.221066554,0.006155786,0.514256963,0.01,0.072116475,0.252257774,0.750548954,0.072,0.539944859,0.32571272,0.358883537,0.05,0.125564746
32,0.01,0.23163651,0.259644991,0.53128958,0.072,0.427348733,0.449616897,0.448503105,0.01,0.072052821,0.390592041,0.04547142,0.072,0.312132405,0.250789325,0.504215976,0.05,0.098256204
33,0.01,0.092482943,0.112963429,0.601593399,0.072,0.35114786,0.05743768,0.047772666,0.01,0.553765614,0.057482775,0.649269447,0.072,0.401145585,0.046206107,0.048187822,0.05,0.276259082
34,0.01,0.295673929,0.292807296,0.642111658,0.072,0.538037192,0.560048604,0.427918809,0.01,0.297245073,0.065965566,0.613946064,0.072,0.317173614,0.240958101,0.514809291,0.05,0.031135295
35,0.01,0.389173832,0.008969379,0.370241907,0.072,0.031980261,0.067488576,0.066754908,0.01,0.512876139,0.589375455,0.460861324,0.072,0.546514008,0.212926489,0.162284465,0.05,0.243207756
36,0.01,0.176640712,0.760945806,0.009602035,0.072,0.550891174,0.02451483,0.506169289,0.01,0.416883876,0.784442189,0.058299286,0.072,0.314589234,0.55056384,0.297119575,0.05,0.176231619
37,0.01,0.549641464,0.359087441,0.495770883,0.072,0.331890529,0.51185775,0.025813544,0.01,0.22196092,0.750825072,0.703308389,0.072,0.258813036,0.352235316,0.157552512,0.05,0.052673925
38,0.01,0.36632174,0.27914826,0.461088328,0.072,0.044153274,0.553456251,0.560167703,0.01,0.551547754,0.423516129,0.244526817,0.072,0.462235571,0.388927306,0.092366422,0.05,0.255059612
39,0.01,0.649804422,0.750341932,0.573318412,0.072,0.348419831,0.237562045,0.529789779,0.01,0.684190473,0.035722749,0.02082991,0.072,0.213831192,0.460394292,0.560772841,0.05,0.04211673
40,0.01,0.469363265,0.300903777,0.766232374,0.072,0.478323548,0.476170704,0.266217715,0.01,0.327707407,0.215991587,0.044536642,0.072,0.49116231,0.461727773,0.567839638,0.05,0.279058314
41,0.01,0.438791047,0.607500058,0.746364927,0.072,0.482599718,0.140493722,0.255909069,0.01,0.102035938,0.753700312,0.478877961,0.072,0.129869114,0.381525989,0.351096841,0.05,0.100285561
42,0.01,0.089710498,0.530542825,0.411043084,0.072,0.438676847,0.295452869,0.484039092,0.01,0.436006403,0.443140998,0.692556346,0.072,0.229178268,0.07612065,0.01634856,0.05,0.211438432
43,0.01,0.490044546,0.556223017,0.168241688,0.072,0.077458998,0.00826137,0.199133733,0.01,0.466034973,0.309872796,0.345605188,0.072,0.513562138,0.197809105,0.29194603,0.05,0.219422844
44,0.01,0.313268798,0.491448493,0.68126733,0.072,0.539327714,0.083537737,0.526301771,0.01,0.388771872,0.204013067,0.362717247,0.072,0.556658503,0.279807077,0.186730915,0.05,0.177352239
45,0.01,0.189715039,0.059932029,0.10181498,0.072,0.072730037,0.08628073,0.078853834,0.01,0.506291048,0.143685267,0.273077154,0.072,0.509375817,0.269210212,0.379172795,0.05,0.048249564
46,0.01,0.151908325,0.032286207,0.1334587,0.072,0.158239313,0.100541955,0.050383039,0.01,0.095302338,0.364015227,0.163003638,0.072,0.206905281,0.28594101,0.392144263,0.05,0.011007399
47,0.01,0.631534215,0.496041308,0.064589635,0.072,0.496192658,0.523055524,0.034692281,0.01,0.218733342,0.636899011,0.591125155,0.072,0.104807939,0.118910416,0.210428154,0.05,0.135666436
48,0.01,0.48842127,0.291441775,0.365402426,0.072,0.424563493,0.020836059,0.143384184,0.01,0.563546173,0.707213402,0.404225179,0.072,0.30224046,0.060873702,0.254130224,0.05,0.149132835
49,0.01,0.191551698,0.212702152,0.298054489,0.072,0.01140044,0.182940966,0.120102468,0.01,0.258722908,0.094612084,0.703516552,0.072,0.337160514,0.385730117,0.448249264,0.05,0.139563816
50,0.01,0.068667028,0.424314168,0.463604483,0.072,0.423409621,0.245182622,0.072465612,0.01,0.224182966,0.286835014,0.510274621,0.072,0.324202077,0.20226294,0.560340661,0.05,0.169616949
51,0.01,0.187409165,0.080408153,0.12075872,0.072,0.13970399,0.09126702,0.10597007,0.01,0.225225183,0.13696514,0.708444685,0.072,0.045572768,0.297922469,0.233105398,0.05,0.275066013
52,0.01,0.088510733,0.314305923,0.765881642,0.072,0.491608048,0.464096936,0.146488806,0.01,0.135001194,0.528228144,0.734207031,0.072,0.316241323,0.324676008,0.159028125,0.05,0.215458021
53,0.01,0.147764561,0.255706597,0.336094787,0.072,0.288322695,0.137688728,0.065227316,0.01,0.482389834,0.228018137,0.459178195,0.072,0.087678022,0.273287578,0.302510798,0.05,0.01451059
54,0.01,0.26591738,0.106187595,0.050066227,0.072,0.562297412,0.183096984,0.460008685,0.01,0.201166117,0.538387151,0.600580009,0.072,0.338322805,0.267855275,0.233925639,0.05,0.097683115
55,0.01,0.734328024,0.656189332,0.762371259,0.072,0.070600823,0.415132726,0.532977379,0.01,0.143174122,0.052532051,0.585485313,0.072,0.326300728,0.478158745,0.07939071,0.05,0.222674847
56,0.01,0.159285583,0.129288195,0.12976998,0.072,0.462678441,0.377832021,0.297101161,0.01,0.283476082,0.692988427,0.310031635,0.072,0.463828482,0.249428628,0.214104436,0.05,0.12955034
57,0.01,0.238088521,0.59061141,0.397149108,0.072,0.131896811,0.510958358,0.218050214,0.01,0.42940676,0.716112968,0.493148017,0.072,0.066398087,0.533824646,0.356538174,0.05,0.093773572
58,0.01,0.110024937,0.6272799,0.489857477,0.072,0.3030059,0.507730987,0.447923216,0.01,0.119823155,0.246260434,0.19630642,0.072,0.422561494,0.019046423,0.323697341,0.05,0.213488432
59,0.01,0.692644853,0.270244581,0.648793271,0.072,0.062838827,0.480784902,0.07241356,0.01,0.31385696,0.629863339,0.118434768,0.072,0.130214792,0.410239459,0.408980753,0.05,0.179521337
60,0.01,0.548219271,0.42875231,0.198921257,0.072,0.196355324,0.103147503,0.515999919,0.01,0.460879518,0.316672619,0.364984585,0.072,0.538056937,0.087103597,0.332978545,0.05,0.14164883
61,0.01,0.483048846,0.014307045,0.688977888,0.072,0.529443184,0.320995648,0.395697668,0.01,0.728774511,0.558718521,0.120505844,0.072,0.327331789,0.344614146,0.240906221,0.05,0.206204386
62,0.01,0.738149942,0.731199125,0.356163103,0.072,0.06431921,0.559389801,0.476494113,0.01,0.098483518,0.727465087,0.687218126,0.072,0.294700016,0.335844448,0.226633536,0.05,0.015333259
63,0.01,0.264805821,0.634254224,0.003659298,0.072,0.18942753,0.226159818,0.305240702,0.01,0.726685937,0.273613336,0.274093029,0.072,0.418900709,0.25685979,0.127575539,0.05,0.126683065
64,0.01,0.111277046,0.139345719,0.39371054,0.072,0.237949655,0.519632472,0.205839735,0.01,0.458664797,0.499488787,0.010344621,0.072,0.376889227,0.101124429,0.54588794,0.05,0.041625564
65,0.01,0.327553058,0.067426238,0.787530659,0.072,0.285246766,0.33817869,0.038099439,0.01,0.592468772,0.165825419,0.709462889,0.072,0.116519316,0.108310625,0.020760211,0.05,0.132178745
66,0.01,0.446224495,0.051909825,0.612666817,0.072,0.257468058,0.297853673,0.25035324,0.01,0.316602818,0.442115862,0.122639794,0.072,0.103335178,0.489494233,0.537393582,0.05,0.104526609
67,0.01,0.213888292,0.508759639,0.322899995,0.072,0.01441945,0.088694675,0.406672226,0.01,0.520549914,0.021405834,0.175358008,0.072,0.131250484,0.381635078,0.011195585,0.05,0.029150403
68,0.01,0.631933707,0.141050283,0.515669425,0.072,0.13528782,0.056482711,0.138121804,0.01,0.570590876,0.67600021,0.655873693,0.072,0.225600245,0.379472358,0.11643108,0.05,0.082081364
69,0.01,0.708105297,0.01027152,0.067551739,0.072,0.118079393,0.015070292,0.103055327,0.01,0.460602833,0.332925395,0.705210652,0.072,0.464307943,0.194152256,0.14735251,0.05,0.106313874
70,0.01,0.466333005,0.211770276,0.493077637,0.072,0.232545818,0.313562799,0.247719869,0.01,0.23262795,0.749278113,0.603248577,0.072,0.079584284,0.49328981,0.276860921,0.05,0.250474624
71,0.01,0.631885652,0.335918669,0.017750754,0.072,0.15260874,0.307648234,0.359815629,0.01,0.203731271,0.110091299,0.659594887,0.072,0.559140439,0.298592024,0.097513834,0.05,0.076246051
72,0.01,0.014528634,0.722296057,0.093023355,0.072,0.327461358,0.155663365,0.314773105,0.01,0.514622107,0.655496025,0.163072805,0.072,0.006245631,0.077751038,0.511210589,0.05,0.244689222
73,0.01,0.471956351,0.47440832,0.525378973,0.072,0.099610886,0.519385985,0.237861658,0.01,0.302679437,0.409944987,0.037103114,0.072,0.094448953,0.419203094,0.047029643,0.05,0.168882591
74,0.01,0.193825797,0.307543535,0.228068052,0.072,0.202022103,0.408418074,0.168765134,0.01,0.447459666,0.376079818,0.524300221,0.072,0.532119292,0.416100951,0.122086135,0.05,0.008731278
75,0.01,0.207188595,0.470111565,0.040626393,0.072,0.281936028,0.339006738,0.18985053,0.01,0.609020641,0.08421262,0.059358848,0.072,0.413611214,0.281439068,0.391012561,0.05,0.121751655
76,0.01,0.194657606,0.647090831,0.631538544,0.072,0.394587595,0.154578438,0.335251019,0.01,0.285169379,0.072349838,0.724677725,0.072,0.077712982,0.539734817,0.253331279,0.05,0.05183722
77,0.01,0.428101748,0.68962721,0.57845766,0.072,0.458126732,0.374188952,0.393213089,0.01,0.670864565,0.197237727,0.386645721,0.072,0.125646963,0.560995429,0.536225705,0.05,0.011039507
78,0.01,0.557404386,0.730946171,0.142654523,0.072,0.322592891,0.519997353,0.019281316,0.01,0.550962011,0.234905716,0.730272994,0.072,0.551561083,0.536343366,0.269353675,0.05,0.241371942
79,0.01,0.667194025,0.252089374,0.654843225,0.072,0.021020337,0.338681291,0.13064502,0.01,0.09524784,0.060793029,0.550068133,0.072,0.193048979,0.411667526,0.037122402,0.05,0.088281295
80,0.01,0.426198121,0.6246713,0.251814477,0.072,0.355506302,0.503235361,0.349810291,0.01,0.184037985,0.019276617,0.68737811,0.072,0.012081025,0.49683055,0.300436292,0.05,0.262938956
81,0.01,0.631038756,0.788367947,0.277062334,0.072,0.435762948,0.228296759,0.272569352,0.01,0.495729316,0.69020492,0.777425941,0.072,0.436379299,0.237291532,0.239330777,0.05,0.206523044
82,0.01,0.188633945,0.087274549,0.280151505,0.072,0.163151747,0.168303012,0.132689203,0.01,0.03325362,0.014120408,0.780300688,0.072,0.24297514,0.218297536,0.386039657,0.05,0.061111089
83,0.01,0.750469335,0.621212561,0.070634692,0.072,0.237185881,0.499339199,0.536607789,0.01,0.369247194,0.484594997,0.131956817,0.072,0.56298378,0.131589526,0.535471648,0.05,0.181901062
84,0.01,0.480112068,0.405023924,0.182229151,0.072,0.100267922,0.125236167,0.105896933,0.01,0.615871734,0.276598955,0.045695714,0.072,0.550450294,0.501990383,0.526963297,0.05,0.27857419
85,0.01,0.137377247,0.313031195,0.599008396,0.072,0.395339711,0.087412875,0.463393215,0.01,0.177308052,0.176815916,0.424209794,0.072,0.336789883,0.329488966,0.051964524,0.05,0.245689042
86,0.01,0.209824034,0.102316788,0.702110983,0.072,0.542810051,0.489688487,0.45980513,0.01,0.517641165,0.435177323,0.06871954,0.072,0.232001425,0.211687078,0.147540149,0.05,0.202557632
87,0.01,0.391741831,0.064026511,0.17394473,0.072,0.388090978,0.043242328,0.483485527,0.01,0.391165756,0.379663396,0.46800215,0.072,0.468418789,0.19755563,0.385113175,0.05,0.15840495
88,0.01,0.210952333,0.694117689,0.629966557,0.072,0.374000642,0.483130422,0.492623106,0.01,0.559606752,0.661240529,0.551002455,0.072,0.386319958,0.351371263,0.427543051,0.05,0.044409429
89,0.01,0.6958879,0.688756387,0.023105354,0.072,0.469063914,0.073198085,0.190347509,0.01,0.587371522,0.127000318,0.646193949,0.072,0.472652213,0.288241673,0.003627175,0.05,0.080370677
90,0.01,0.487372266,0.775137081,0.499132686,0.072,0.147568434,0.360115239,0.306711696,0.01,0.616077862,0.084514705,0.601212043,0.072,0.307439417,0.546979458,0.19418339,0.05,0.17713413
91,0.01,0.736302203,0.080982685,0.740410505,0.072,0.39071909,0.03853145,0.170947306,0.01,0.55945595,0.053206975,0.459914664,0.072,0.196461576,0.352680014,0.025981475,0.05,0.244030306
92,0.01,0.769056286,0.765413506,0.592224947,0.072,0.073888984,0.430693495,0.013965369,0.01,0.017477606,0.255652073,0.38602812,0.072,0.437591413,0.388111774,0.253272737,0.05,0.076615467
93,0.01,0.787728355,0.336683229,0.356595749,0.072,0.09293833,0.451451824,0.394011504,0.01,0.174407994,0.065081026,0.537594449,0.072,0.37176237,0.155211411,0.540090503,0.05,0.04229621
94,0.01,0.341544493,0.745456577,0.33158458,0.072,0.362682738,0.225833618,0.155754235,0.01,0.777342342,0.323373865,0.706338371,0.072,0.130614216,0.121043472,0.017684159,0.05,0.182466711
95,0.01,0.291135812,0.682843017,0.373835826,0.072,0.549933867,0.105378493,0.493377959,0.01,0.613511514,0.609028257,0.66737875,0.072,0.432261627,0.355693143,0.074547091,0.05,0.00910733
96,0.01,0.7274698,0.487153748,0.62926446,0.072,0.273504696,0.066631051,0.07110553,0.01,0.541596577,0.339941657,0.158414534,0.072,0.279225703,0.036470676,0.330559756,0.05,0.075318153
97,0.01,0.63007169,0.245185948,0.359623918,0.072,0.006600467,0.041149832,0.22293634,0.01,0.379151679,0.474016233,0.230413437,0.072,0.394749711,0.488549522,0.442955362,0.05,0.011093271
98,0.01,0.379600488,0.082894841,0.191215563,0.072,0.560424353,0.080937468,0.283368471,0.01,0.48834303,0.554947327,0.44212246,0.072,0.005549841,0.185430023,0.294060213,0.05,0.02460262
99,0.01,0.276995276,0.026230456,0.062077013,0.072,0.225452421,0.075382548,0.322363202,0.01,0.544677326,0.632463492,0.158118693,0.072,0.095130107,0.059394533,0.361492382,0.05,0.197813203
100,0.01,0.024953054,0.739607675,0.041057314,0.072,0.307456318,0.402746375,0.494710462,0.01,0.564128676,0.633365186,0.268165652,0.072,0.462820665,0.045505233,0.508255861,0.05,0.153325865
101,0.01,0.645665238,0.357331445,0.508426379,0.072,0.298996711,0.415542848,0.04636583,0.01,0.047678146,0.195211555,0.126040297,0.072,0.495173066,0.124513545,0.554291465,0.05,0.094330822
102,0.01,0.143873153,0.623861821,0.520379143,0.072,0.282975167,0.315446497,0.40850661,0.01,0.180479246,0.787103794,0.770086598,0.072,0.36938499,0.113340112,0.386369642,0.05,0.020215555
103,0.01,0.024215477,0.203569482,0.365472136,0.072,0.493178783,0.413032032,0.421857304,0.01,0.336139734,0.273288644,0.293120623,0.072,0.560984952,0.022782021,0.49247389,0.05,0.162029114
104,0.01,0.346506181,0.572953552,0.384468464,0.072,0.496104399,0.511598659,0.239537486,0.01,0.21869396,0.46795676,0.720767043,0.072,0.119656123,0.353845019,0.358726205,0.05,0.205271646
105,0.01,0.103938471,0.565501722,0.718135691,0.072,0.102060006,0.134924609,0.551752413,0.01,0.142971793,0.674964224,0.388899507,0.072,0.14042725,0.494585944,0.252933385,0.05,0.144148859
106,0.01,0.283794362,0.468431173,0.129183859,0.072,0.222134313,0.550626199,0.14661979,0.01,0.518821965,0.256900151,0.611043769,0.072,0.074336239,0.550858354,0.25775246,0.05,0.06609413
107,0.01,0.05806243,0.134108745,0.410621419,0.072,0.191417804,0.470805752,0.244744113,0.01,0.196484275,0.487544539,0.558354001,0.072,0.094879804,0.095207715,0.02082937,0.05,0.206192564
108,0.01,0.524405577,0.374958392,0.666894655,0.072,0.457620647,0.332481279,0.493178087,0.01,0.162614556,0.088416499,0.213102193,0.072,0.032425334,0.301704292,0.531992033,0.05,0.011016191
109,0.01,0.096466832,0.357237232,0.737761264,0.072,0.179576668,0.288109371,0.023613384,0.01,0.117191129,0.779437797,0.76244377,0.072,0.002805909,0.540629094,0.363020125,0.05,0.243017122
110,0.01,0.359244486,0.407320863,0.386188798,0.072,0.378778898,0.079321913,0.017024999,0.01,0.243264654,0.556697803,0.159464227,0.072,0.382509622,0.550910042,0.053335607,0.05,0.188328593
111,0.01,0.350562673,0.685832381,0.139948334,0.072,0.393411541,0.476049485,0.536540877,0.01,0.539765942,0.392768064,0.48809932,0.072,0.493538031,0.324106336,0.01725985,0.05,0.260665635
112,0.01,0.544726133,0.534445575,0.17038337,0.072,0.374246947,0.223714982,0.369900331,0.01,0.084208494,0.519697791,0.789536843,0.072,0.027384438,0.555034937,0.231123722,0.05,0.243810966
113,0.01,0.618084532,0.447942846,0.583374875,0.072,0.498996839,0.229551703,0.185754836,0.01,0.527398775,0.638198294,0.602205256,0.072,0.453158153,0.247411323,0.464529835,0.05,0.033658536
114,0.01,0.430146387,0.004549342,0.256422806,0.072,0.208150152,0.225026089,0.395025373,0.01,0.3069609,0.354467962,0.187659863,0.072,0.212007018,0.129089148,0.041575285,0.05,0.168965606
115,0.01,0.527888111,0.489397373,0.366160295,0.072,0.215718323,0.490373513,0.294838454,0.01,0.378553683,0.020257232,0.269585784,0.072,0.215951111,0.22653134,0.329537906,0.05,0.149408713
116,0.01,0.480245023,0.604257777,0.642258734,0.072,0.407893907,0.542737459,0.010356107,0.01,0.154664609,0.005974671,0.511505024,0.072,0.510081352,0.138297944,0.526555621,0.05,0.016874869
117,0.01,0.738204461,0.277781923,0.080122454,0.072,0.275975159,0.14584909,0.161807808,0.01,0.242759072,0.634390459,0.425937409,0.072,0.176822773,0.346669589,0.406773583,0.05,0.07633472
118,0.01,0.32670379,0.096290014,0.143107986,0.072,0.386874941,0.103056981,0.298292802,0.01,0.560146547,0.084432769,0.448176654,0.072,0.145727661,0.546942465,0.274653927,0.05,0.225677914
119,0.01,0.434678968,0.034295901,0.500189587,0.072,0.540397098,0.341715514,0.465299272,0.01,0.698523106,0.18018302,0.167515424,0.072,0.347037202,0.233464171,0.47704122,0.05,0.252006475
120,0.01,0.27920289,0.187127742,0.616615157,0.072,0.156089828,0.467244933,0.240683328,0.01,0.52736442,0.075472898,0.492848866,0.072,0.256604042,0.333193607,0.09543207,0.05,0.206324649
121,0.01,0.681609691,0.171224442,0.075614499,0.072,0.013426717,0.364639812,0.344829412,0.01,0.431890956,0.183238206,0.308815737,0.072,0.337662558,0.282163576,0.561062175,0.05,0.038203131
122,0.01,0.549164198,0.319411827,0.338277696,0.072,0.407595531,0.393303734,0.563033404,0.01,0.101431489,0.082246623,0.572227666,0.072,0.328523769,0.155723259,0.045110202,0.05,0.02398431
123,0.01,0.706410791,0.151575187,0.255463534,0.072,0.128740836,0.201637902,0.039432743,0.01,0.410057235,0.053413925,0.632281641,0.072,0.132748463,0.306726767,0.499884922,0.05,0.182245663
124,0.01,0.421036651,0.256223665,0.263071511,0.072,0.380268591,0.564671157,0.37592466,0.01,0.4406489,0.577213903,0.367512434,0.072,0.034160851,0.319384591,0.543931162,0.05,0.049084824
125,0.01,0.545103864,0.158737614,0.423303871,0.072,0.054912223,0.255810692,0.429500771,0.01,0.274581504,0.525280262,0.628405469,0.072,0.526637001,0.133276702,0.22681144,0.05,0.042676484
126,0.01,0.784061967,0.732330765,0.426566133,0.072,0.478274911,0.295904131,0.354196671,0.01,0.070408301,0.596663632,0.100893652,0.072,0.469206414,0.444191954,0.402566988,0.05,0.010124907
127,0.01,0.239471401,0.20785893,0.284507762,0.072,0.04978108,0.532192043,0.314559673,0.01,0.241364205,0.313615398,0.353290007,0.072,0.341137581,0.292905915,0.522214641,0.05,0.139149775
128,0.01,0.783804832,0.672625717,0.164723306,0.072,0.528578082,0.066096114,0.464311434,0.01,0.300692402,0.693599713,0.685764785,0.072,0.457765627,0.448737288,0.173057751,0.05,0.022657399
129,0.01,0.318354341,0.137084367,0.54901136,0.072,0.196584645,0.554146594,0.36407214,0.01,0.649759645,0.104694491,0.680991441,0.072,0.524126084,0.27665117,0.344351669,0.05,0.214146744
130,0.01,0.138122516,0.3970272,0.314943792,0.072,0.083140428,0.208759552,0.038721872,0.01,0.020391406,0.106781368,0.760860938,0.072,0.312132776,0.548586988,0.245658795,0.05,0.087308517
131,0.01,0.399852072,0.347214234,0.083475101,0.072,0.363989347,0.122709688,0.351925958,0.01,0.513658863,0.120099634,0.048466205,0.072,0.443472581,0.261166641,0.033037036,0.05,0.278562569
132,0.01,0.045646643,0.549077831,0.777106351,0.072,0.135854299,0.080797641,0.068946646,0.01,0.239587367,0.079826191,0.54680746,0.072,0.035381741,0.289351769,0.566123813,0.05,0.227911675
133,0.01,0.486023356,0.24194036,0.492877711,0.072,0.299359552,0.242015362,0.074243494,0.01,0.70041733,0.355329873,0.153751784,0.072,0.208887311,0.235225699,0.470041525,0.05,0.205412027
134,0.01,0.607750866,0.008714699,0.328761659,0.072,0.273403478,0.010901213,0.147573903,0.01,0.60062896,0.108316668,0.422895004,0.072,0.122234663,0.0068846,0.137002428,0.05,0.273244651
135,0.01,0.633214318,0.758065549,0.385404695,0.072,0.062330161,0.31124099,0.258086326,0.01,0.667042095,0.077485239,0.385710498,0.072,0.085227642,0.184415926,0.41881882,0.05,0.133285076
136,0.01,0.296951745,0.31163626,0.362962947,0.072,0.445889397,0.506704103,0.542630102,0.01,0.621653675,0.249171448,0.543626418,0.072,0.248558574,0.144652913,0.477615057,0.05,0.010759378
